"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Kenta Maeda","LAD","SP,RP","1","FA","32","LAD 9<br/>@SF 0 F","22.0","77.42","26","10","3.5","153.2","114","51","169","5.0","4.04","1.074","37"
"Jordan Lyles","PIT/MIL","SP,RP","2","FA","30","MIL 3<br/>@COL 4 F","4.0","75.36","28","12","3.0","141","131","55","146","0.0","4.15","1.319","28"
"Martin Perez","MIN","SP,RP","3","FA","29","MIN 4<br/>@KC 5 F","4.0","70.82","29","10","1.5","165.1","184","67","135","0.0","5.12","1.518","32"
"Andrew Cashner","BAL/BOS","SP,RP","4","FA","34","BAL 4<br/>@BOS 5 F","4.0","70.58","23","11","2.5","150","144","58","108","3.0","4.68","1.347","42"
"Zach Eflin","PHI","SP,RP","5","FA","26","MIA 4<br/>@PHI 3 F","4.0","67.69","28","10","6.0","163.1","172","48","129","0.0","4.13","1.347","32"
"Ivan Nova","CHW","SP","6","FA","34","DET 3<br/>@CHW 5 F","7.0","67.19","34","11","6.5","187","225","47","114","0.0","4.72","1.455","34"
"Matt Barnes","BOS","RP","7","FA","30","BAL 4<br/>@BOS 5 F","4.0","66.88","0","5","4.0","64.1","51","38","110","17.0","3.78","1.383","70"
"Jakob Junis","KC","SP","8","FA","28","MIN 4<br/>@KC 5 F","4.0","66.57","31","9","8.0","175.1","192","58","164","0.0","5.24","1.426","31"
"Marcus Walden","BOS","RP","9","FA","32","BAL 4<br/>@BOS 5 F","4.0","65.2","0","9","2.0","78","61","32","76","5.0","3.81","1.192","70"
"Trent Thornton","TOR","SP","10","FA","27","TB 3<br/>@TOR 8 F","4.0","65.16","29","6","4.5","154.1","156","61","149","0.0","4.84","1.406","32"
"Tyler Duffey","MIN","RP","11","FA","30","MIN 4<br/>@KC 5 F","4.0","64.49","0","5","1.0","57.2","44","14","82","7.5","2.50","1.006","58"
"Jason Vargas","NYM/PHI","SP","12","FA","38","MIA 4<br/>@PHI 3 F","4.0","64.42","29","7","4.5","149.2","141","63","124","0.0","4.51","1.363","30"
"Trevor May","MIN","RP","13","FA","31","MIN 4<br/>@KC 5 F","7.0","64.22","0","5","3.0","64.1","43","26","79","10.5","2.94","1.073","65"
"Jake Arrieta","PHI","SP","14","FA","34","MIA 4<br/>@PHI 3 F","15.0","64.09","24","8","3.0","135.2","149","51","110","0.0","4.64","1.474","24"
"Felix Pena","LAA","SP,RP","15","FA","30","HOU 8<br/>@LAA 5 F","4.0","63.92","7","8","3.0","96.1","80","34","101","0.5","4.58","1.183","22"
"Trevor Williams","PIT","SP","16","FA","28","CIN 3<br/>@PIT 1 F","4.0","63.39","26","7","3.0","145.2","162","44","113","0.0","5.38","1.414","26"
"Nick Wittgren","CLE","RP","17","FA","29","CLE 2<br/>@WSH 8 F","4.0","62.49","0","5","1.0","57.2","47","15","60","10.0","2.81","1.075","55"
