"Rank","Player","Team","Positions","ESPN","CBS","Yahoo","NFBC","AVG"
"1","Mike Trout","LAA","CF","1","1","1","1","1.0"
"2","Mookie Betts","LAD","CF,RF","4","2","2","2","2.5"
"3","Jose Altuve","HOU","2B","2","3","6","4","3.8"
"4","Nolan Arenado","STL","3B","3","4","5","6","4.5"
"5","Kris Bryant","CHC","3B,LF,RF","5","5","3","5","4.5"
"6","Clayton Kershaw","LAD","SP","6","7","4","3","5.0"
"7","Paul Goldschmidt","STL","1B","8","6","7","7","7.0"
"8","Manny Machado","SD","3B,SS","7","8","8","8","7.8"
"9","Bryce Harper","PHI","RF,DH","10","9","9","9","9.3"
"10","Josh Donaldson","MIN","3B","9","10","10","11","10.0"
"11","Anthony Rizzo","CHC","1B","12","11","11","12","11.5"
"12","Max Scherzer","WSH","SP","14","14","12","13","13.3"
"13","Trea Turner","WSH","SS","17","12","16","10","13.8"
"14","Madison Bumgarner","ARI","SP","11","17","15","14","14.3"
"15","Miguel Cabrera","DET","1B,DH","13","16","13","16","14.5"
"16","Charlie Blackmon","COL","RF","15","13","14","17","14.8"
"17","Carlos Correa","HOU","SS","16","15","19","15","16.3"
"18","Corey Seager","LAD","SS","19","18","18","20","18.8"
"19","Noah Syndergaard","NYM","SP","20","22","17","18","19.3"
"20","Chris Sale","BOS","SP","18","20","21","21","20.0"
"21","Joey Votto","CIN","1B","23","19","20","22","21.0"
"22","Corey Kluber","NYY","SP","21","23","26","24","23.5"
"23","Francisco Lindor","NYM","SS","22","25","24","27","24.5"
"24","Edwin Encarnacion","","1B,DH","25","21","28","25","24.8"
"25","Starling Marte","MIA","CF","29","29","23","23","26.0"
"26","Xander Bogaerts","BOS","SS","28","30","22","28","27.0"
"27","Freddie Freeman","ATL","1B","24","28","31","26","27.3"
"28","Robinson Cano","NYM","2B,DH","30","27","25","30","28.0"
"29","Jake Arrieta","CHC","SP","26","32","29","32","29.8"
"30","Jonathan Villar","NYM","2B,SS","36","33","41","19","32.3"
"31","Daniel Murphy","","1B","27","24","40","39","32.5"
"32","Brian Dozier","","2B","32","31","34","37","33.5"
"33","Jon Lester","WSH","SP","33","35","33","34","33.8"
"34","George Springer","TOR","CF,RF","41","34","32","33","35.0"
"35","Trevor Story","COL","SS","37","41","35","29","35.5"
"36","Nelson Cruz","MIN","DH,Util","44","37","30","35","36.5"
"37","Ryan Braun","","LF,RF,DH","39","38","27","44","37.0"
"38","Giancarlo Stanton","NYY","LF,DH","40","36","37","40","38.3"
"39","AJ Pollock","LAD","LF,CF,DH","58","26","36","38","39.5"
"40","Justin Verlander","HOU","SP","31","39","46","42","39.5"
"41","Yu Darvish","SD","SP","48","42","38","31","39.8"
"42","Johnny Cueto","SF","SP","38","43","42","41","41.0"
"43","Buster Posey","SF","C,1B","43","40","45","43","42.8"
"44","Rougned Odor","TEX","2B","50","44","43","36","43.3"
"45","Yoenis Cespedes","","DH,Util","35","47","49","54","46.3"
"46","Carlos Gonzalez","","LF,RF","34","51","39","63","46.8"
"47","Kyle Seager","SEA","3B","42","53","47","65","51.8"
"48","Stephen Strasburg","WSH","SP","60","46","53","48","51.8"
"49","Jose Abreu","CWS","1B","46","52","50","59","51.8"
"50","Kenley Jansen","LAD","RP","52","60","52","45","52.3"
"51","Chris Archer","TB","SP","47","56","60","49","53.0"
"52","Aroldis Chapman","NYY","RP","57","62","48","46","53.3"
"53","Wil Myers","SD","1B,LF,CF,RF","54","50","58","51","53.3"
"54","Christian Yelich","MIL","LF,RF","45","59","55","56","53.8"
"55","Gary Sanchez","NYY","C","70","49","54","47","55.0"
"56","Andrew McCutchen","PHI","LF,CF,DH","49","57","56","66","57.0"
